id,name,count,image,era,image_url
66,Jean Grae,5835,,2000s,https://pudding.cool/projects/vocabulary/assets/images/jean.png
67,Jedi Mind Tricks,6336,,2000s,https://pudding.cool/projects/vocabulary/assets/images/jedi.png
68,Joe Budden,4523,,2000s,https://pudding.cool/projects/vocabulary/assets/images/joe-budden.png
69,Joey BadA$$,4871,,2010s,https://pudding.cool/projects/vocabulary/assets/images/joey.png
70,Juicy J,3275,,2000s,https://pudding.cool/projects/vocabulary/assets/images/juicy-j.png
71,Juvenile,"3,630",,1990s,https://pudding.cool/projects/vocabulary/assets/images/juvenile.png
72,KAAN,5107,,2010s,https://pudding.cool/projects/vocabulary/assets/images/kaan.png
73,Kano,4144,,2000s,https://pudding.cool/projects/vocabulary/assets/images/kano.png
74,Kanye West,"3,982",,2000s,https://pudding.cool/projects/vocabulary/assets/images/kanye-west.png
75,Kendrick Lamar,"4,013",,2010s,https://pudding.cool/projects/vocabulary/assets/images/kendrick.png
76,Kevin Gates,4318,,2000s,https://pudding.cool/projects/vocabulary/assets/images/kevin-gates.png
77,Kid Cudi,3318,,2010s,https://pudding.cool/projects/vocabulary/assets/images/kid-cudi.png
78,Kid Ink,"3,055",,2010s,https://pudding.cool/projects/vocabulary/assets/images/kid-ink.png
79,Killah Priest,"5,737",,2000s,https://pudding.cool/projects/vocabulary/assets/images/killah-priest.png
80,Kodak Black,"3,197",,2010s,https://pudding.cool/projects/vocabulary/assets/images/kodak.png
81,Kool G Rap,"5,394",,1990s,https://pudding.cool/projects/vocabulary/assets/images/kool-g-rap.png
82,Kool Keith,"6,238",,1990s,https://pudding.cool/projects/vocabulary/assets/images/kool-keith.png
83,KRS-One,"4,585",,1990s,https://pudding.cool/projects/vocabulary/assets/images/krs-one-excl-boogie-production.png
84,Lil Baby,"2,762",,2010s,https://pudding.cool/projects/vocabulary/assets/images/lil-baby.png
85,Lil Durk,2988,,2010s,https://pudding.cool/projects/vocabulary/assets/images/lil-durk.png
86,Lil' Kim,"4,474",,2000s,https://pudding.cool/projects/vocabulary/assets/images/lil-kim.png
87,Lil Uzi Vert,"2,556",,2010s,https://pudding.cool/projects/vocabulary/assets/images/lil-uzi-vert.png
88,Lil Wayne,"3,486",,2000s,https://pudding.cool/projects/vocabulary/assets/images/lil-wayne.png
89,Lil Yachty,"3,161",,2010s,https://pudding.cool/projects/vocabulary/assets/images/lil-yachty.png
90,LL Cool J,"4,743",,1980s,https://pudding.cool/projects/vocabulary/assets/images/ll-cool-j.png
91,Logic,3281,,2010s,https://pudding.cool/projects/vocabulary/assets/images/logic.png
92,Ludacris,"4,806",,2000s,https://pudding.cool/projects/vocabulary/assets/images/ludacris.png
93,Lupe Fiasco,"4,439",,2000s,https://pudding.cool/projects/vocabulary/assets/images/lupe-fiasco.png
94,Mac Miller,4246,,2010s,https://pudding.cool/projects/vocabulary/assets/images/mac-miller.png
95,Machine Gun Kelly,3690,,2010s,https://pudding.cool/projects/vocabulary/assets/images/machine.png
96,Master P,"3,612",,1990s,https://pudding.cool/projects/vocabulary/assets/images/master-p.png
97,MC Lyte,"3,817",,1990s,https://pudding.cool/projects/vocabulary/assets/images/mc-lyte.png
98,Meek Mill,3454,,2010s,https://pudding.cool/projects/vocabulary/assets/images/meek.png
99,Method Man,"4,951",,1990s,https://pudding.cool/projects/vocabulary/assets/images/method-man.png
100,MF DOOM,"5,204",,2000s,https://pudding.cool/projects/vocabulary/assets/images/mf-doom.png
101,Migos,3193,,2010s,https://pudding.cool/projects/vocabulary/assets/images/migos.png
102,Missy Elliot,"3,874",,2000s,https://pudding.cool/projects/vocabulary/assets/images/missy-elliot.png
103,Mobb Deep,"4,756",,1990s,https://pudding.cool/projects/vocabulary/assets/images/mobb-deep.png
104,Mos Def,"4,729",,2000s,https://pudding.cool/projects/vocabulary/assets/images/mos-def.png
105,Murs,4723,,2000s,https://pudding.cool/projects/vocabulary/assets/images/murs.png
106,Nas,"5,096",,1990s,https://pudding.cool/projects/vocabulary/assets/images/nas.png
107,Nelly,"4,413",,2000s,https://pudding.cool/projects/vocabulary/assets/images/nelly.png
